event_id	quote_id	created_at	event_type	job_type_id	selected_options_json	selected_addons_json	total_hours	labor_cost	overhead_cost	material_allowance	travel_fee	final_price	address_provided	pricing_version	status	customer_name	phone	email	address	notes	
EVT-TEST-001	QS-TEST-001	2026-04-04T14:30:18.396Z	locked	small_job	{}	[]					0	450	123 Main St, Orange, TX 77630	v2	Estimate Sent	John Test	4096580797		123 Main St, Orange, TX 77630	Test record 1 — generator inspection	
EVT-TEST-002	QS-TEST-002	2026-04-05T14:30:18.396Z	locked	small_job	{}	[]					0	875	456 Oak Ave, Orange, TX 77630	v2	Estimate Sent	Mary Test	4096580797		456 Oak Ave, Orange, TX 77630	Test record 2 — recessed lighting install	
EVT-TEST-003	QS-TEST-003	2026-04-02T14:30:18.396Z	locked	project	{}	[]					0	2500	789 Pine Dr, Vidor, TX 77662	v2	Scheduled	Bob Test	4096580797		789 Pine Dr, Vidor, TX 77662	Test record 3 — panel upgrade 200A	
EVT-TEST-004	QS-TEST-004	2026-04-06T14:30:18.396Z	locked	small_job	{}	[]					0	650	321 Elm Blvd, Beaumont, TX 77701	v2	Estimate Sent	Sue Test	4096580797		321 Elm Blvd, Beaumont, TX 77701	Test record 4 — outlet install and GFCI	
EVT-APR26-001	QS-APR26-001	2026-03-01T10:00:00.000Z	locked	panel_upgrade	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1960_1980"",""PANEL_SPACE"":""yes""},""qty"":1,""classification"":""standard""}"	[]					0	250	412 W Park Ave, Orange, TX 77630	v2	Scheduled	James Fontenot	4096580797		412 W Park Ave, Orange, TX 77630	April 2026 test — Panel Upgrade	
EVT-APR26-002	QS-APR26-002	2026-03-01T10:00:00.000Z	locked	outlet_install	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""2000plus"",""WALL_TYPE"":""drywall"",""CRAWLSPACE_ACCESS"":""no""},""qty"":1,""classification"":""standard""}"	[]					0	450	1804 16th St, Orange, TX 77630	v2	Scheduled	Patricia Broussard	4096580797		1804 16th St, Orange, TX 77630	April 2026 test — Outlet Installation	
EVT-APR26-003	QS-APR26-003	2026-03-01T10:00:00.000Z	locked	ceiling_fan	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1980_2000"",""CEILING_HEIGHT"":""standard"",""ATTIC_ACCESS"":""yes""},""qty"":1,""classification"":""standard""}"	[]					0	650	875 Green Ave, Orange, TX 77630	v2	Scheduled	Kevin Guidry	4096580797		875 Green Ave, Orange, TX 77630	April 2026 test — Ceiling Fan	
EVT-APR26-004	QS-APR26-004	2026-03-01T10:00:00.000Z	locked	ev_charger	"{""answers"":{""PROPERTY_TYPE"":""commercial"",""HOME_AGE"":""2000plus"",""PANEL_SPACE"":""limited""},""qty"":1,""classification"":""standard""}"	[]					0	550	3302 Division Ave, Orange, TX 77630	v2	Scheduled	Sandra Thibodaux	4096580797		3302 Division Ave, Orange, TX 77630	April 2026 test — EV Charger	
EVT-APR26-005	QS-APR26-005	2026-03-01T10:00:00.000Z	locked	generator	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1980_2000"",""PANEL_SPACE"":""yes""},""qty"":1,""classification"":""standard""}"	[]					0	750	620 N 5th St, Orange, TX 77630	v2	Scheduled	Michael Meaux	4096580797		620 N 5th St, Orange, TX 77630	April 2026 test — Generator	
EVT-APR26-006	QS-APR26-006	2026-03-01T10:00:00.000Z	locked	lighting	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""2000plus"",""CEILING_HEIGHT"":""tall"",""ATTIC_ACCESS"":""no""},""qty"":1,""classification"":""standard""}"	[]					0	1200	2109 Simmons Dr, Orange, TX 77630	v2	Scheduled	Laura Arceneaux	4096580797		2109 Simmons Dr, Orange, TX 77630	April 2026 test — Lighting	
EVT-APR26-007	QS-APR26-007	2026-03-01T10:00:00.000Z	locked	wiring_repair	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""pre1960""},""qty"":1,""classification"":""standard""}"	[]					0	875	514 E Lutcher Dr, Orange, TX 77630	v2	Scheduled	David Landry	4096580797		514 E Lutcher Dr, Orange, TX 77630	April 2026 test — Wiring Repair	
EVT-APR26-008	QS-APR26-008	2026-03-01T10:00:00.000Z	locked	service_call	"{""answers"":{""PROPERTY_TYPE"":""commercial"",""HOME_AGE"":""1980_2000""},""qty"":1,""classification"":""standard""}"	[]					0	1500	1125 Western Ave, Orange, TX 77630	v2	Scheduled	Donna Duhon	4096580797		1125 Western Ave, Orange, TX 77630	April 2026 test — Service Call	
EVT-APR26-009	QS-APR26-009	2026-03-01T10:00:00.000Z	locked	meter_base	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1960_1980""},""qty"":1,""classification"":""standard""}"	[]					0	3200	748 Pine St, Orange, TX 77630	v2	Scheduled	Robert Boudreaux	4096580797		748 Pine St, Orange, TX 77630	April 2026 test — Meter Base	
EVT-APR26-013	QS-APR26-013	2026-03-01T10:00:00.000Z	locked	bathroom_fan	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1960_1980"",""ATTIC_ACCESS"":""partial""},""qty"":1,""classification"":""standard""}"	[]					0	250	1440 Spurlock Rd, Vidor, TX 77662	v2	Scheduled	Thomas Menard	4096580797		1440 Spurlock Rd, Vidor, TX 77662	April 2026 test — Bathroom Fan	
EVT-APR26-014	QS-APR26-014	2026-03-01T10:00:00.000Z	locked	outdoor_lighting	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1980_2000""},""qty"":1,""classification"":""standard""}"	[]					0	450	332 Dewitt Ave, Vidor, TX 77662	v2	Scheduled	Melissa Guillory	4096580797		332 Dewitt Ave, Vidor, TX 77662	April 2026 test — Outdoor Lighting	
EVT-APR26-015	QS-APR26-015	2026-03-01T10:00:00.000Z	locked	recessed_lights	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""2000plus"",""CEILING_HEIGHT"":""tall"",""ATTIC_ACCESS"":""no""},""qty"":1,""classification"":""standard""}"	[]					0	650	517 North St, Vidor, TX 77662	v2	Scheduled	Charles Richard	4096580797		517 North St, Vidor, TX 77662	April 2026 test — Recessed Lights	
EVT-APR26-016	QS-APR26-016	2026-03-02T10:00:00.000Z	locked	transfer_switch	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1960_1980"",""PANEL_SPACE"":""yes""},""qty"":1,""classification"":""standard""}"	[]					0	550	2208 Old Hwy 90, Vidor, TX 77662	v2	Scheduled	Stephanie Fontenot	4096580797		2208 Old Hwy 90, Vidor, TX 77662	April 2026 test — Transfer Switch	
EVT-APR26-017	QS-APR26-017	2026-03-02T10:00:00.000Z	locked	panel_upgrade	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1980_2000"",""PANEL_SPACE"":""limited""},""qty"":1,""classification"":""standard""}"	[]					0	750	114 Magnolia St, Vidor, TX 77662	v2	Scheduled	Daniel Dupuis	4096580797		114 Magnolia St, Vidor, TX 77662	April 2026 test — Panel Upgrade	
EVT-APR26-018	QS-APR26-018	2026-03-02T10:00:00.000Z	locked	outlet_install	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1980_2000"",""WALL_TYPE"":""plaster"",""CRAWLSPACE_ACCESS"":""yes""},""qty"":1,""classification"":""standard""}"	[]					0	1200	740 Ave B, Vidor, TX 77662	v2	Scheduled	Rebecca Mouton	4096580797		740 Ave B, Vidor, TX 77662	April 2026 test — Outlet Installation	
EVT-APR26-019	QS-APR26-019	2026-03-03T10:00:00.000Z	locked	ceiling_fan	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""2000plus"",""CEILING_HEIGHT"":""tall"",""ATTIC_ACCESS"":""partial""},""qty"":1,""classification"":""standard""}"	[]					0	875	4420 Calder Ave, Beaumont, TX 77706	v2	Scheduled	Matthew Leger	4096580797		4420 Calder Ave, Beaumont, TX 77706	April 2026 test — Ceiling Fan	
EVT-APR26-020	QS-APR26-020	2026-03-03T10:00:00.000Z	locked	ev_charger	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""2000plus"",""PANEL_SPACE"":""yes""},""qty"":1,""classification"":""standard""}"	[]					0	1500	1811 College St, Beaumont, TX 77701	v2	Scheduled	Laura Benoit	4096580797		1811 College St, Beaumont, TX 77701	April 2026 test — EV Charger	
EVT-APR26-021	QS-APR26-021	2026-03-03T10:00:00.000Z	locked	generator	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""2000plus"",""PANEL_SPACE"":""limited""},""qty"":1,""classification"":""standard""}"	[]					0	3200	930 Cardinal Dr, Beaumont, TX 77706	v2	Scheduled	Anthony Chenevert	4096580797		930 Cardinal Dr, Beaumont, TX 77706	April 2026 test — Generator	
EVT-APR26-022	QS-APR26-022	2026-03-04T10:00:00.000Z	locked	lighting	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1980_2000"",""CEILING_HEIGHT"":""standard"",""ATTIC_ACCESS"":""yes""},""qty"":1,""classification"":""standard""}"	[]					0	2500	2745 Washington Blvd, Beaumont, TX 77705	v2	Scheduled	Rachel Thibodeaux	4096580797		2745 Washington Blvd, Beaumont, TX 77705	April 2026 test — Lighting	
EVT-APR26-023	QS-APR26-023	2026-03-04T10:00:00.000Z	locked	wiring_repair	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1960_1980""},""qty"":1,""classification"":""standard""}"	[]					0	4500	665 Pine St, Beaumont, TX 77701	v2	Scheduled	Mark Gaspard	4096580797		665 Pine St, Beaumont, TX 77701	April 2026 test — Wiring Repair	
EVT-APR26-024	QS-APR26-024	2026-03-04T10:00:00.000Z	locked	service_call	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""2000plus""},""qty"":1,""classification"":""standard""}"	[]					0	350	3210 Gladys Ave, Beaumont, TX 77702	v2	Scheduled	Sharon Pontiff	4096580797		3210 Gladys Ave, Beaumont, TX 77702	April 2026 test — Service Call	
EVT-APR26-025	QS-APR26-025	2026-03-05T10:00:00.000Z	locked	meter_base	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1980_2000""},""qty"":1,""classification"":""standard""}"	[]					0	250	820 S 4th St, Beaumont, TX 77701	v2	Scheduled	Donald Robicheaux	4096580797		820 S 4th St, Beaumont, TX 77701	April 2026 test — Meter Base	
EVT-APR26-026	QS-APR26-026	2026-03-05T10:00:00.000Z	locked	breaker_replace	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1980_2000"",""PANEL_SPACE"":""yes""},""qty"":1,""classification"":""standard""}"	[]					0	450	1415 Broadway St, Beaumont, TX 77701	v2	Scheduled	Virginia Comeaux	4096580797		1415 Broadway St, Beaumont, TX 77701	April 2026 test — Breaker Replacement	
EVT-APR26-027	QS-APR26-027	2026-03-05T10:00:00.000Z	locked	surge_protection	"{""answers"":{""PROPERTY_TYPE"":""commercial"",""HOME_AGE"":""2000plus"",""PANEL_SPACE"":""yes""},""qty"":1,""classification"":""standard""}"	[]					0	650	5012 Phelan Blvd, Beaumont, TX 77706	v2	Scheduled	Steven Gautreau	4096580797		5012 Phelan Blvd, Beaumont, TX 77706	April 2026 test — Surge Protection	
EVT-APR26-031	QS-APR26-031	2026-03-08T10:00:00.000Z	locked	recessed_lights	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1980_2000"",""CEILING_HEIGHT"":""standard"",""ATTIC_ACCESS"":""yes""},""qty"":1,""classification"":""standard""}"	[]					0	875	3309 Memorial Blvd, Port Arthur, TX 77640	v2	Scheduled	Andrew Sagrera	4096580797		3309 Memorial Blvd, Port Arthur, TX 77640	April 2026 test — Recessed Lights	
